severity,code,position_id,event_id,strategy,signal_id,contract_address,entry_time,exit_time,entry_price,exit_price,pnl_pct,reason,anomaly_type,details_json
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_144443,88HPgV4Bp6ZrhgUrm2YmaB8XBrXNYDWMxLPzRH9W3GP6,2025-07-22T13:40:00+00:00,2025-07-22T16:01:00+00:00,0.0001836996733916,0.0008380985487397,12.864617830314083,,pnl_cap_or_magic,"{""pnl_pct"": 12.864617830314083, ""expected_pnl_pct"": 3.5623300970878238, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_147009,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,2025-08-03T07:09:00+00:00,2025-08-03T09:44:00+00:00,0.0004898940384067,0.002235058315807,12.26312118183228,,pnl_cap_or_magic,"{""pnl_pct"": 12.26312118183228, ""expected_pnl_pct"": 3.562330097088262, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_147821,Bb5DTomqzRG7s475rtB55HyzRvjAG1V1xNyqd2QxThTi,2025-08-06T19:23:00+00:00,2025-08-07T01:22:00+00:00,5.16089400130301e-05,0.0001844665580925,14.096511733416287,,pnl_cap_or_magic,"{""pnl_pct"": 14.096511733416287, ""expected_pnl_pct"": 2.574314024778, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148019,BbcEc7W7JfvHDRimWpbcBw6gfC9oU8irCumytrPQbonk,2025-08-07T17:11:00+00:00,2025-08-07T22:55:00+00:00,6.45147300542139e-05,0.000173949162242,15.61049446111976,,pnl_cap_or_magic,"{""pnl_pct"": 15.61049446111976, ""expected_pnl_pct"": 1.6962704811106653, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148123,APu9zDAmkQZes2TcjmVLGHuRQgtatMEpPyxsPxZRpump,2025-08-08T04:14:00+00:00,2025-08-08T04:44:00+00:00,7.629682985536226e-05,0.0003480913231614,29.136792163491695,,pnl_cap_or_magic,"{""pnl_pct"": 29.136792163491695, ""expected_pnl_pct"": 3.562330097086407, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148244,YjzCuXtexmEonRNYXXbDTYRm5coZYQmLFFRBMVt7cLZ,2025-08-08T16:45:00+00:00,2025-08-08T22:44:00+00:00,6.559588395774256e-05,0.0001306397351419,11.360705180189678,,pnl_cap_or_magic,"{""pnl_pct"": 11.360705180189678, ""expected_pnl_pct"": 0.9915843382194418, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148417,xhRE31h1iThLaG31gLhSRBpVQnZXZNkEYYfV5oEpump,2025-08-09T10:16:00+00:00,2025-08-09T16:15:00+00:00,7.376328662770457e-05,4.3515363248047895e-06,-10.237310259210554,,pnl_cap_or_magic,"{""pnl_pct"": -10.237310259210554, ""expected_pnl_pct"": -0.9410067457166368, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148552,FYXnJhgLmhcELqsKyAfdKZExFfA7gaskQa5TuEZE9RZT,2025-08-09T22:49:00+00:00,2025-08-10T04:48:00+00:00,0.0003021609463585,0.0008105423452163,10.157915966708252,,pnl_cap_or_magic,"{""pnl_pct"": 10.157915966708252, ""expected_pnl_pct"": 1.6824854600985693, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148988,FTggXu7nYowpXjScSw7BZjtZDXywLNjK88CGhydDGgMS,2025-08-11T12:20:00+00:00,2025-08-11T18:19:00+00:00,0.0002211365958594,0.0007209658507563,16.73124618083547,,pnl_cap_or_magic,"{""pnl_pct"": 16.73124618083547, ""expected_pnl_pct"": 2.2602738047694944, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149012,YBdbwtZ4nzFmZyZ1C2cAB18D3wySCanvSTip9Ntbonk,2025-08-11T14:01:00+00:00,2025-08-11T20:00:00+00:00,0.0001519154673159,0.0005336495030773,15.69079804587134,,pnl_cap_or_magic,"{""pnl_pct"": 15.69079804587134, ""expected_pnl_pct"": 2.512805591859877, ""max_reasonable"": 10.0}"
P0,pnl_cap_or_magic,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149101,CuM7jCNGFLQpFfnV7ZeUUbBpRWnCsPgTaNj6fgq4pump,2025-08-11T20:03:00+00:00,2025-08-12T02:02:00+00:00,0.0002507171680768,0.0005164704664219,10.681548315072556,,pnl_cap_or_magic,"{""pnl_pct"": 10.681548315072556, ""expected_pnl_pct"": 1.0599724796815435, ""max_reasonable"": 10.0}"
