timestamp,event_type,strategy,signal_id,contract_address,position_id,meta_json
2025-11-28T09:53:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172631,7biCCUthUHDn48jTpYKFExvpJzxTcWoXjwVDBCyZpump,,"{""size"": 2246.7578702207957, ""open_positions"": 6}"
2025-11-28T10:22:44+00:00,attempt_rejected_no_candles,Runner_Ladder_2x_5x_10x,tg_1758611100_172636,3xNiCetFqYAF3fanw9ZnjxCgKKiTrfxNHrGiW9sJpump,,"{""detail"": ""no_candles""}"
2025-11-28T10:22:44+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172636,3xNiCetFqYAF3fanw9ZnjxCgKKiTrfxNHrGiW9sJpump,,{}
2025-11-28T11:23:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172574,9BVn3Y8tPghbnGuuuxoj2mGekqgSQV1M7nALF7brpump,,"{""entry_time"": ""2025-11-28T05:24:00+00:00"", ""exit_time"": ""2025-11-28T11:23:00+00:00"", ""pnl_pct"": 0.01105092452095668, ""pnl_sol"": 27.840793301868366, ""fees_total_sol"": 10.188635259926286, ""close_reason"": ""unknown""}"
2025-11-28T11:32:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172646,3F4hakpnZE1BVhHeaa8RAahf9W2x6LaH8ZxQDahqpump,,"{""size"": 2275.7790011708817, ""open_positions"": 6}"
2025-11-28T11:32:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172646,3F4hakpnZE1BVhHeaa8RAahf9W2x6LaH8ZxQDahqpump,,{}
2025-11-28T11:40:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172577,CKyngN43ZPTmR8hKmpzGixUAYBNCmDSQ5tJNabktbonk,,"{""entry_time"": ""2025-11-28T05:41:00+00:00"", ""exit_time"": ""2025-11-28T11:40:00+00:00"", ""pnl_pct"": -0.05398459445031134, ""pnl_sol"": -122.40392282333606, ""fees_total_sol"": 8.579928986753657, ""close_reason"": ""unknown""}"
2025-11-28T12:28:00+00:00,executed_close,Runner_Ladder_2x_5x_10x,tg_1758611100_172587,8zeWmLN7yA4VtccJaL1GmipoMA8Q2Mpr73xxke2ipump,,"{""entry_time"": ""2025-11-28T06:29:00+00:00"", ""exit_time"": ""2025-11-28T12:28:00+00:00"", ""pnl_pct"": -0.14272962787067828, ""pnl_sol"": -291.26085865569837, ""fees_total_sol"": 6.997546575619481, ""close_reason"": ""unknown""}"
2025-11-28T12:57:59+00:00,attempt_rejected_no_candles,Runner_Ladder_2x_5x_10x,tg_1758611100_172656,EyXR8wGCqnJNpi2APT4e4dxxMdaaGZdiWrnWwMkkpump,,"{""detail"": ""no_candles""}"
2025-11-28T12:57:59+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172656,EyXR8wGCqnJNpi2APT4e4dxxMdaaGZdiWrnWwMkkpump,,{}
2025-11-28T14:43:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172670,E9RDcyYa3cQXwq4mmofMfwpWStgGhZbppatdChKDpump,,{}
2025-11-28T14:43:00+00:00,attempt_accepted_open,Runner_Ladder_2x_5x_10x,tg_1758611100_172670,E9RDcyYa3cQXwq4mmofMfwpWStgGhZbppatdChKDpump,,"{""size"": 2436.0800925568838, ""open_positions"": 5}"
2025-11-28T14:51:00+00:00,attempt_received,Runner_Ladder_2x_5x_10x,tg_1758611100_172672,ESZ5Je6stEk425s84ozSqJfuKq5J5fm75VrX2Wuopump,,{}
